player_id,family_name,given_name,count_tournaments
P-00647,Barbadillo,Gerónimo,1
P-09117,Barbas,Juan,1
P-00211,Barbosa,not applicable,1
P-01314,Barbosa,Pedro,1
P-01121,Barbu,Ştefan,1
P-08051,Bărbulescu,Andrei,1
P-01805,Bárcenas,Édgar,1
P-02362,Bareño,Rúben,1
P-02761,Baresi,Franco,3
P-01515,Baresi,Giuseppe,1
P-01096,Bargas,Ángel,1
P-04647,Barison,Paolo,1
P-06874,Barkley,Ross,1
P-04963,Barmoš,Jozef,1
P-01791,Barnes,John,2
P-00432,Barnetta,Tranquillo,3
P-00559,Barone,Simone,1
P-07166,Baroš,Milan,1
P-09378,Barquín,Jacinto,1
P-06711,Barrantes,Hermidio,1
P-00880,Barrantes,Michael,1
P-06812,Barrera,Pablo,1
P-09449,Barrera,Rodrigo,1
P-05329,Barreto,Diego,1
P-08840,Barreto,Édgar,2
P-04886,Barrett,Warren,1
P-01244,Barrios,Jorge,1
P-09556,Barrios,Lucas,1
P-03631,Barrios,Wilmar,1
P-03871,Barron,Andy,1
P-00975,Barry,Boubacar,3
P-05437,Barry,Gareth,1
P-08115,Barschandt,Leopold,2
P-09226,Barthélemy,Claude,1
P-06099,Barthez,Fabien,3
P-05596,Bartlett,Shaun,1
P-05701,Bartram,Jan,1
P-00346,Baruwa,Abiodun,1
P-03776,Barzagli,Andrea,2
P-06644,Basaguren,Juan Ignacio,1
P-02446,Basanta,José María,1
P-09240,Basler,Mario,1
P-08187,Basora,Estanislau,1
P-06079,Bassir,Salaheddine,1
P-06239,Bassong,Sébastien,1
P-02834,Basta,Dušan,1
P-00176,Bastien,Jean,1
P-04737,Bastos,Michel,1
P-02040,Baştürk,Yıldıray,1
P-00453,Basualdo,José,2
P-07020,Baszczyński,Marcin,1
P-09381,Batatais,not applicable,1
P-06280,Bathenay,Dominique,1
P-07079,Batista,José,1
P-03483,Batista,not applicable,2
P-07030,Batista,Sergio,2
P-05392,Batistuta,Gabriel,3
P-02122,Bats,Joël,1
P-05828,Batshuayi,Michy,1
P-05556,Battaglia,Jorge,1
P-07765,Battiston,Patrick,3
P-09865,Batty,David,1
P-07117,Bauer,Hans,1
P-04726,Bauer,not applicable,2
P-09853,Baumann,Frank,1
P-00856,Baumeister,Ernst,2
P-00021,Baumgartner,Hubert,1
P-04527,Baur,Michael,1
P-00267,Bautista,Adolfo,1
P-07774,Bauza,Edgardo,1
P-00421,Baya,Zoubeir,2
P-05550,Baylón,Julio,1
P-08122,Bayonne,Pierre,1
P-00735,Beara,Vladimir,3
P-09395,Beardsley,Peter,2
P-05014,Beasley,DaMarcus,4
P-02514,Beauchamp,Michael,2
P-02828,Beaucourt,Georges,1
P-07780,Beausejour,Jean,2
P-05954,Bebeto,not applicable,3
P-06965,Beckeles,Brayan,1
P-04356,Beckenbauer,Franz,3
P-05151,Beckerman,Kyle,1
P-00614,Beckham,David,3
P-03655,Beckmann,Mikkel,1
P-03619,Bedimo,Henri,1
P-01200,Bednarek,Jan,1
P-07246,Bedoui,Rami,1
P-01339,Bedoya,Alejandro,1
P-02093,Been,Dick,1
P-07518,Beer,Erich,1
P-03000,Beerli,Walter,1
P-09287,Begiristain,Txiki,1
P-09015,Begović,Asmir,1
P-03998,Behich,Aziz,1
P-01705,Behrami,Valon,4
P-03864,Beikzadeh,Hashem,1
P-04182,Bein,Uwe,1
P-04218,Beiranvand,Alireza,1
P-05094,Beitashour,Steven,1
P-03191,Bejaoui,Hassen,1
P-06435,Bek,Ivan,1
P-09401,Belanov,Ihor,1
P-00213,Belén,Raúl,1
P-04467,Belhadj,Nadir,1
P-07061,Belhanda,Younès,1
P-06223,Belin,Bruno,1
P-09883,Belis,Ernesto,1
P-09021,Belkalem,Essaïd,1
